ID,Dept,Number,Call,Credits,Taken,Undergrads,Name,Department,Culpa,,
APPHE4010,APAM,4010,67148,3,72,8,Introductn to Nuclear Science,Applied Physics/Math,,,
APPHE6101,APAM,6101,76928,3,16,1,Plasma Physics I,Applied Physics/Math,,,
APPHE6102,APAM,6102,88450,3,14,2,Plasma Physics II,Applied Physics/Math,,,
IEORE4510,IEOR,4510,73453,3,452,78,Project Management,Industrial Eng/Operations Res.,,,
FINCB9301,,,60679,3,35,0,Hedge Funds,Business,,,
IEORE4111,IEOR,4111,78537,3,318,2,Operations Consulting,Industrial Eng/Operations Res.,6354,,
DRANB8837,,,70400,3,18,0,Risk Management,Other,,,
IEORE4570,IEOR,4570,60854,3,185,1,Machine Learning For or and ,Industrial Eng/Operations Res.,,,
OPMNB7815,,,65154,3,1,0,Supply Chain Management,Other,,,
OPMNB8861,,,27532,3,33,0,Service Operations,Other,,,
APMAE4301,APAM,4301,13901,3,64,11,Numerical Methods/Pde'S,Applied Physics/Math,5151,,
APPHE4100,APAM,4100,69797,3,70,20,Quantum Physics of Matter,Applied Physics/Math,4897,,
EESCG6920,,,29035,3,2,0,Dynamics of Climate,Earth/Environmental Science,,,
EESCG6922,,,72796,3,1,0,Atmospheric Radiation,Earth/Environmental Science,,,
DRANB8835,,,78750,3,115,2,Quant Fin: Models and Computation,Other,,,
ECONG6222,,,11007,3,1,0,Adv Macroeconomic Analysis II,Economics,,,
IEORE4630,IEOR,4630,66998,3,237,30,Asset Allocation,Industrial Eng/Operations Res.,5367,,
DROMB8114,,,73820,1,14,1,Applied Regression Analysis,Other,,,
DROMB9122,,,61251,3,44,1,Computing For Business Resrch,Other,,,
ECONG6225,,,10988,3,1,0,Topics In Economic Analysis I,Economics,,,
ECONG6413,,,74487,3,1,0,Macro-Econometrics,Economics,,,
CSORW4231,COMS,4231,68498,3,1327,136,Analysis of Algorithms I,Other,4035,,
ELENE4944,VDEO,4944,76352,3,131,17,Prncpls of Device Microfabrctn,Electrical Engineering,,,
ELENE6945,VDEO,6945,77208,3,67,1,Device Nanofabrication,Electrical Engineering,5335,,
ELENE6010,ELEN,6010,96400,4,44,4,Design Prin For Biol Circuits,Electrical Engineering,,,
CSEEE6180,COMS,6180,88983,3,102,6,Modeling and Performnce Evaluatn,Computer Science,,,
FINCB8301,,,62047,3,119,1,Adv Corp Finance From,Business,,,
IEORE4106,IEOR,4106,77191,3,1171,58,Intro to Or-Stochastic,Industrial Eng/Operations Res.,4773,,
CSORW4246,COMS,4246,23466,3,208,18,Algorithms For Data Science,Other,,,
ELENE4896,ELEN,4896,82051,3,59,10,Music Signal Processing,Electrical Engineering,,,
CSEEW4140,COMS,4140,70962,3,153,22,Networking Laboratory,Computer Science,,,
INAFU6347,,,23400,3,1,0,Us Role In World Affairs I,International & public affairs,,,
STATW4700,,,70711,3,76,10,Probability and Statistics,Statistics,,,
APMAE4990,APAM,4990,67552,3,56,14,Data-Driven Modeling,Applied Physics/Math,6175,,
STATW4702,,,72965,3,83,6,Stat Inference and Modeling,Statistics,,,
COMSW4721,COMS,4721,65956,3,170,19,Machine Learning For Data Sci,Computer Science,,,
APMAE6901,APAM,6901,28047,3,5,1,Stat and Comput Inverse Pro,Applied Physics/Math,,,
BMENE6500,BMEN,6500,19718,4,26,2,Tissue/Molecular Engi Lab,BioMedical Engineering,,,
BMENE9900,BMEN,9900,28548,0,6,6,Doctoral Dissertation,BioMedical Engineering,,,
BMENE4840,BMEN,4840,78305,3,13,3,Functional Imaging Brain,BioMedical Engineering,,,
IEORE4728,IEOR,4728,23353,3,271,1,Prof Devpt For Ms and E,Industrial Eng/Operations Res.,,,
EAEEE9305,EAEE,9305,97196,3,124,1,Earth/Environmntl Eng Research,Earth/Environmental Engineering,,,
IEORE4408,IEOR,4408,83048,3,39,5,Resource Allocation,Industrial Eng/Operations Res.,,,
INAFU6346,,,83147,3,1,0,Us Role In World Affairs I,International & public affairs,,,
MGMTB7521,,,74636,3,4,0,Lean Launchpad,Other,,,
STATW4242,,,61055,3,27,3,Introduction to Data Science,Statistics,6689,,
STATW4400,,,62001,3,217,65,Statistical Machine Learning,Statistics,6825,,
MECEE4602,MECE,4602,10801,3,221,20,Introduction to Robotics,Mechanical Engineering,5962,,
COMSW4281,COMS,4281,22059,3,120,30,Intro to Quantum Computing,Computer Science,5922,,
COMSW4706,COMS,4706,88037,3,37,0,Spoken Language Processing,Computer Science,5041,,
COMSW4252,COMS,4252,27499,3,221,31,Intro-Computational Learn Thry,Computer Science,2287,,
COMSW4771,COMS,4771,26343,3,756,87,Machine Learning,Computer Science,1921,,
IEMEE4310,IEOR,4310,64325,3,139,21,Manufacturing Enterprise,Other,,,
COMSW4115,COMS,4115,92080,3,735,155,Programming Lang and Transl,Computer Science,3105,,
COMSW4901,COMS,4901,61534,3,81,42,Projects In Computer Science,Computer Science,,,
COMSE6735,COMS,6735,97600,3,84,15,Visual Databases,Computer Science,,,
ELENE6201,ELEN,6201,83202,3,50,1,Linear System Theory,Electrical Engineering,,,
ELENE6412,ELEN,6412,12538,3,61,3,Lightwave Devices,Electrical Engineering,,,
ELENE6430,ELEN,6430,11601,3,17,0,Applied Quantum Optics,Electrical Engineering,,,
ELENE6413,ELEN,6413,17108,3,28,2,Lightwave Systems,Electrical Engineering,,,
CIENE4021,VDEO,4021,69292,3,119,12,Elas/Plas Analysis-Structures,Civil Engineering,,,
CIENE4111,CEEM,4111,20464,3,211,12,Uncertain/Risk-Civil Inf Syst,Civil Engineering,,,
ENMEE4215,CEEM,4215,26970,3,151,5,Theory of Vibrations,Civil Engineering,6505,,
CIENE4137,CEEM,4137,92903,3,162,14,Manage Civ Instrastucture Syst,Civil Engineering,,,
CIENE4226,CEEM,4226,13535,3,253,17,Adv Design of Steel Structures,Civil Engineering,,,
CIENE4245,CEEM,4245,29530,3,106,3,Tunnel Design and Construction,Civil Engineering,,,
CIENE4130,CEEM,4130,25030,3,137,11,Design of Construction Systems,Civil Engineering,,,
CIENE4133,CEEM,4133,20718,3,278,30,Capital Facility Planning/Fin,Civil Engineering,,,
CIENE4210,CEEM,4210,10215,3,87,9,Forensic Structurl Engineering,Civil Engineering,,,
CIENE4233,CEEM,4233,12697,3,197,20,Design of Large Scale Bridges,Civil Engineering,,,
ELENE6951,ELEN,6951,86900,3,44,3,Wireless and Mobile Networking I,Electrical Engineering,,,
CIENE4010,CEEM,4010,64699,3,80,14,Transportation Engineering,Civil Engineering,,,
CIENE4132,CEEM,4132,72951,3,175,6,Prev and Resol of Constr Disputes,Civil Engineering,,,
CIENE4138,CEEM,4138,23346,3,254,24,Real Estate Fin/Const Manag,Civil Engineering,,,
ECONW4465,,,61801,3,48,15,Public Economics,Economics,1543,,
EAEEE9282,EAEE,9282,87049,0,18,0,Mineral Engineering Seminar,Earth/Environmental Engineering,,,
APPHE6081,APAM,6081,63245,3,51,2,Solid State Physics I,Applied Physics/Math,,,
COMSW4460,COMS,4460,81550,3,115,13,Prin-Innovatn/Entrepreneurship,Computer Science,,,
COMSE6184,COMS,6184,24015,3,12,6,Anonymity and Privacy,Computer Science,,,
IEORE4710,IEOR,4710,83447,3,169,4,Term Structure Modeling,Industrial Eng/Operations Res.,,,
ELENE6712,ELEN,6712,12405,3,130,0,Communication Theory,Electrical Engineering,,,
JPNSC1202,,,22796,5,10,4,Second Year Japanese II,East Asian Lang. & Cult.,5456,,
COMSW4170,COMS,4170,11841,3,193,63,User Interface Design,Computer Science,663,,
COMSW4112,COMS,4112,27906,3,243,33,Database System Implementation,Computer Science,,,
COMSW4444,COMS,4444,21815,3,86,14,Programming and Problem Solving,Computer Science,2387,,
IEORE4706,VDEO,4706,27300,3,204,10,Financial Engineering I,Industrial Eng/Operations Res.,5953,,
MECEE9001,MECE,9001,20957,3,106,10,Graduate Research and Study I,Mechanical Engineering,,,
MSAEE6251,APAM,6251,88020,3,34,0,Thin Films and Layers,Applied Physics/Math,,,
STATW4199,,,26971,3,9,0,Statistical Computing In Sas,Statistics,6334,,
STATW4200,,,72496,3,3,0,Applied Statistics,Statistics,,,
IEORE4611,IEOR,4611,70897,3,217,15,Decision Models and Applic,Industrial Eng/Operations Res.,6744,,
ECONB8219,,,26831,3,6,0,New Developments In Energy Mar,Economics,,,
BMCHE4810,BMEN,4810,62200,3,37,10,Artifical Organs,Other,,,
APPHE4550,APAM,4550,76199,0,59,7,Medical Physics Seminar,Applied Physics/Math,,,
CIENE4232,CEEM,4232,11649,3,206,14,Advncd Dsgn-Concrete Structurs,Civil Engineering,,,
ELENE6776,ELEN,6776,12938,3,139,2,Topic: Content Distribu N,Electrical Engineering,,,
ELENE6950,ELEN,6950,22595,4,107,5,Wireless and Mobile Netwrki,Electrical Engineering,5112,,
ELENE6001,VDEO,6001,79537,3,146,7,Advanced Projects,Electrical Engineering,,,
COMSE6111,COMS,6111,72000,3,309,22,Advanced Database Systems,Computer Science,4956,,
BMENE4750,BMEN,4750,97599,3,15,3,Sound and Hearing,BioMedical Engineering,,,
EAEEE4901,VDEO,4901,77538,3,43,2,Environmental Microbiology,Earth/Environmental Engineering,,,
EAEEE4001,EAEE,4001,71992,3,123,11,Indust Ecology-Earth Resources,Earth/Environmental Engineering,,,
MECEE4211,MECE,4211,26547,3,200,16,Energy Sources and Conversion,Mechanical Engineering,,,
EAEEE4009,EAEE,4009,73297,3,145,20,"Gis-Res,Envir,Infrastructr Mgt",Earth/Environmental Engineering,5148,,
EAEEE4150,EAEE,4150,11646,3,60,7,Air Pollution Prevention/Contr,Earth/Environmental Engineering,,,
EAEEE4210,EAEE,4210,97597,3,20,1,Thermal Treatmnt-Waste/Bio Mat,Earth/Environmental Engineering,,,
ENVPU6239,,,28003,3,1,1,Polit/Pol-Urban Sustainabilty,Other,,,
ENVPU6224,,,27847,3,13,1,Environmental Data Analysis,Other,,,
MATHV2010,,,15045,3,656,369,Linear Algebra,Math,547,,
COMSW3101,COMS,3101,12543,1,319,109,Programming Lang: (Java),Computer Science,885,,
COMSW4731,COMS,4731,63284,3,209,41,Computer Vision,Computer Science,2386,,
COMSW4733,COMS,4733,23412,3,135,47,Computatnl Aspects of Robotics,Computer Science,2403,,
COMSE6731,COMS,6731,72946,3,24,9,Humanoid Robots,Computer Science,,,
COMSE6732,COMS,6732,68757,3,26,6,Computational Imaging,Computer Science,,,
PLANA4214,,,13036,3,4,0,Trans + Land Use Planning,Other,,,
CHNSW1010,,,15176,2,47,27,Introductory Chinese A,East Asian Lang. & Cult.,3453,,
ECBME6040,ELEN,6040,28786,3,106,3,Neural Networks and Deep Learning,Other,,,
CIENE4246,CEEM,4246,16451,3,46,4,Earth Retaining Structures,Civil Engineering,6811,,
EXRSG0001,,,77771,0,2,0,F/T Ext Residence Morn,Other,,,
ELENE6907,ELEN,6907,27598,3,51,1,Topic: Emerg Nano Devices,Electrical Engineering,,,
ELENE6312,ELEN,6312,91853,3,159,9,Adv Analog Inegrated Circuits,Electrical Engineering,,,
ELENE6331,ELEN,6331,13063,3,145,4,Princpls Semiconductr Physcs I,Electrical Engineering,,,
ELENE9002,ELEN,9002,83103,0,37,4,Research II,Electrical Engineering,,,
EECSE4321,ELEN,4321,88447,3,225,14,Digital Vlsi Circuits,Other,6708,,
ELENE6320,ELEN,6320,75749,3,37,1,Millimeter-Wave Ic Design,Electrical Engineering,,,
ELENE9301,ELEN,9301,97350,3,2,0,Seminar In Electronic Devices,Electrical Engineering,,,
PHYSG4018,,,70776,3,19,3,Solid State Physics,Physics,,,
COMSE9911,COMS,9911,83001,9,206,41,Graduate Research II,Computer Science,,,
EHSCP9335,,,66851,3,12,0,Radiation Therapy Physics,Other,4200,,
MATHV3028,,,77279,3,76,38,Partial Differential Equations,Math,5730,,
OPMNB8817,,,92149,3,59,0,Supply Chain Mgmt For Mse,Other,,,
EAEEE9280,EAEE,9280,13515,0,259,0,Earth and Environmental Colloq,Earth/Environmental Engineering,,,
MATHV2000,,,26397,3,8,5,Intro to Higher Mathemati,Math,5032,,
SUMAK4145,,,29031,3,5,0,Science of Sustainable Water,Continuing Education,,,
EAEEE4160,EAEE,4160,16248,3,139,30,Solid and Hazardous Waste Mgmt,Earth/Environmental Engineering,6525,,
EAEEE6212,EAEE,6212,81533,3,141,6,Carbon Sequestration,Earth/Environmental Engineering,,,
EAEEE9800,EAEE,9800,25945,12,6,4,Doctoral Research Instruction,Earth/Environmental Engineering,,,
IEORE4579,IEOR,4579,78650,0,569,7,Prof Developmnt For Msor/Msie,Industrial Eng/Operations Res.,,,
IEORE4721,IEOR,4721,18702,3,215,9,Comput Mthds/Derivates Pr,Industrial Eng/Operations Res.,,,
