ID,Dept,Number,Call,Credits,Taken,Undergrads,Name,,
BMENE4010,BMEN,4010,73300,2,218,86,Ethics For Biomedicl Engineers,,
ELENE3083,ELEN,3083,19291,1,244,86,Electronic Circuits Laboratory,,
ELENE3084,ELEN,3084,61389,1,213,86,Signals and Systems Laboratory,,
HUMAC1001,,,22846,4,134,86,Eurpn Lit-Philos Masterpiecs I,,
BIOLC2016,,,12567,0,143,85,"Intro Bio II: Cell Bio,Dev/Phys",,
EEMEE3601,MECE,3601,70125,3,286,84,Classical Control Systems,,
BMENE3830,BMEN,3830,76600,3,173,83,Biomedical Engineering Lab I,,
BMENE3910,BMEN,3910,72676,4,173,83,Biomedical Engineering Design,,
COMSW4701,COMS,4701,90950,3,449,82,Artificial Intelligence,,
BMENE3920,BMEN,3920,83200,4,208,82,Biomedical Engin Design II,,
EAEEE3901,EAEE,3901,75509,3,182,82,Environmental Microbiology,,
BMENE3998,BMEN,3998,88699,3,152,82,Projects In Biomedical Engin,,
ECONW4280,,,85030,3,218,82,Corporate Finance,,
CHEMC1406,,,29327,0,93,82,General Chemistry II-Rec,,
MATHV2030,,,81296,3,230,82,Ordinary Differential Equation,,
MATHV2500,,,72834,3,165,81,Analysis and Optimization,,
IEORE4550,IEOR,4550,91046,3,525,79,Entrepreneurial Bus Crea-Engin,,
IEORE4510,IEOR,4510,73453,3,452,78,Project Management,,
IEORE4600,IEOR,4600,92596,3,196,78,Applied Integer Programming,,
CIENE3004,CEEM,3004,63051,3,210,78,Urban Infrastructure Systems,,
MATHV1101,,,20505,3,178,78,Calculus I,,
COMSW3136,COMS,3136,93401,4,149,77,Essential Data Structures,,
MSAEE3103,APAM,3103,18445,3,124,75,Elements of Materials Science,,
GRAPE3115,CEEM,3115,22210,3,172,75,Adv Computer Modeling/Animatn,,
CHEMW1403,,,62033,3,397,74,General Chemistry I-Lectures,,
CHEMW1405,,,76148,0,250,74,General Chemistry I - Rec,,
APMAE4300,APAM,4300,18148,3,375,73,Comput Math: Intro-Numercl Meth,,
CIENE3125,CEEM,3125,10786,3,203,73,Structural Design,,
IEORE4700,IEOR,4700,67946,3,620,72,Intro to Financial Engineering,,
CIENE3126,CEEM,3126,14284,1,191,70,Computer-Aided Structrl Design,,
MECEE3430,MECE,3430,88978,3,298,69,Engineering Design,,
CIENE3141,CEEM,3141,69276,4,191,69,Soil Mechanics,,
APMAE4101,APAM,4101,11798,3,221,68,Intro Nonlinear Dynamcl Systms,,
CIEEE3255,EAEE,3255,17347,3,155,67,Envir Contr/Pollutn Reduct Sys,,
MECEE3038,MECE,3038,70702,3,233,66,Mechanical Engineering Lab I,,
MECEE3409,MECE,3409,25403,3,234,66,Machine Design,,
MECEE3420,MECE,3420,65714,1,234,66,Eng Des-Concpt/Design Generatn,,
CHEMC3444,,,65260,3,96,66,Organic Chemistry II-Lec,,
STATW4400,,,62001,3,217,65,Statistical Machine Learning,,
IEORE4405,IEOR,4405,87596,3,212,65,Production Scheduling,,
CHENE4140,CHEN,4140,65527,3,175,65,Chem and Biochemical Separa,,
CHENE4300,CHEN,4300,24332,2,179,65,Chemical Engineering Control,,
CHENE4500,CHEN,4500,75006,4,183,65,Principles of Process Des,,
PHYSC2601,,,67714,3,76,65,Physics III: Class/Quantum Wave,,
CHENE3810,CHEN,3810,25846,3,215,64,Chem Eng and Applied Chem Lab,,
CIEEE3260,CEEM,3260,60864,3,155,64,Engineer For Devp Communities,,
CIENE3121,CEEM,3121,63052,3,180,64,Structural Analysis,,
CHEMC3447,,,70519,0,71,64,Organic Chemistry - Rec,,
COMSW4170,COMS,4170,11841,3,193,63,User Interface Design,,
ENMEE3114,CEEM,3114,89536,4,175,63,Experimental Mech of Materials,,
RELIV2008,,,20996,3,106,62,Buddhism: East Asian,,
CHENE2100,CHEN,2100,18700,3,134,62,Intro to Chemical Engineering,,
ENMEE3161,CEEM,3161,16745,4,151,62,Fluid Mechanics,,
CIENE3128,CEEM,3128,28538,4,210,61,Design Projects,,
APMAE4901,APAM,4901,71400,0,102,61,Sem-Problems In Applied Math,,
ASCEV2359,,,25965,4,100,61,Intro-East Asian Civlztn-,,
ASCEV2360,,,73676,0,99,60,Intro-E Asian Civ: China-Disc,,
ELENE3401,ELEN,3401,61905,4,145,59,Electromagnetics,,
IEORE4106,IEOR,4106,77191,3,1171,58,Intro to Or-Stochastic,,
CIENE3129,CEEM,3129,75965,3,155,58,Project Mgmt For Construction,,
ANTHV1108,,,82195,0,137,57,The Rise of Civilization-Disc,,
APMAE4204,VDEO,4204,23499,3,158,56,Functns of a Complex Variable,,
CHEMC3446,,,26901,0,82,56,Organic Chemistry - Rec,,
ANTHV1008,,,77198,3,135,55,The Rise of Civilization,,
IEORE4505,IEOR,4505,28249,3,171,54,Operation Res In Public Policy,,
MECEE4306,MECE,4306,89284,3,178,54,Intro to Aerodynamics,,
STATW3107,,,16973,3,99,54,Intro to Statistical Inference,,
CIENE3111,CEEM,3111,75548,3,131,53,Uncertain/Risk-Civil Inf Syst,,
ELENE3106,ELEN,3106,61320,3,116,53,Solid State Devices Mater,,
SPANW1101,,,6086,4,94,52,Elementary Spanish I,,
CHEMW3444,,,75033,3,84,52,Intro Organic Chemstry II-Lect,,
COMSW4160,COMS,4160,76395,3,190,51,Computer Graphics,,
SOCIW3324,,,21799,3,68,51,Global Urbanism,,
BMENE4501,BMEN,4501,24725,3,164,50,Tissue Engineering I,,
COMSE0004,COMS,4,83537,0,104,50,Applications-Track,,
ELENE3701,ELEN,3701,66651,3,150,50,Intro to Communication Systems,,
CHENE3900,CHEN,3900,27202,3,118,50,Undergraduate Research Project,,
BMENE2500,BMEN,2500,72205,0,83,49,Cellular and Tissue Engin Track,,
BMENE4502,BMEN,4502,86301,3,193,48,Tissue Engineering II,,
HISTW1004,,,81549,3,63,48,Ancient History of Egypt,,
ENMEE3106,CEEM,3106,12858,3,101,48,Dynamics and Vibrations,,
COMSW4187,COMS,4187,22033,3,175,47,Security Arch and Engineering,,
COMSW4733,COMS,4733,23412,3,135,47,Computatnl Aspects of Robotics,,
ASCEV2002,,,81351,4,74,47,Intro Major Topics: East Asian,,
PSYCX1001,,,8133,3,87,47,Introduction to Psychology,,
CSERW1010,,,71990,4,62,47,Intro to Comp Ethnic Studies,,
CHENE1040,CHEN,1040,61788,3,53,47,Molecular Engin and Product Des,,
CIENE3127,CEEM,3127,12809,3,123,46,Structural Design Projects,,
COMSE0003,COMS,3,82791,0,78,46,Artif Intelligence-Track,,
CIENE0001,CEEM,1,18347,0,104,45,Geotechnical/Structural Track,,
APMAE4903,APAM,4903,28600,3,104,45,Sem-Problems In Applied Math,,
IEORE4205,IEOR,4205,81779,3,102,45,Studies In Operations Research,,
BIOTW4180,,,16238,3,119,44,Entrepreneurship In Biotech,,
FRENW1101,,,74728,4,87,43,Elementary French I,,
MSAEE3111,APAM,3111,64674,3,73,43,Thermo/Kinetic Thry/Stat Mech,,
COMSW4901,COMS,4901,61534,3,81,42,Projects In Computer Science,,
PHYSC2802,,,77782,4,62,42,Accelerated Physics II,,
HISTW3719,,,20904,3,60,42,History of the Mod Middle East,,
COMSW4156,COMS,4156,67200,3,260,41,Advanced Software Engineering,,
CSEEW4824,COMS,4824,13529,3,255,41,Computer Architecture,,
IEORE4004,IEOR,4004,85032,3,1225,41,Intro to Or-Determinstc,,
COMSW4731,COMS,4731,63284,3,209,41,Computer Vision,,
COMSE9911,COMS,9911,83001,9,206,41,Graduate Research II,,
APMAE3101,APAM,3101,14918,3,78,41,Applied Math I: Linear Algebra,,
CHENE3100,CHEN,3100,12502,4,68,41,Material and Energy Balances,,
CSERW1014,,,10641,0,56,41,Intro-Comp Ethic Studies-Disc,,
IEORE4001,IEOR,4001,75032,3,219,40,Design/Mgt of Prod/Serv Systms,,
COMSW4261,COMS,4261,23800,3,97,40,Intro to Cryptography,,
BMCHE3500,BMEN,3500,72500,3,91,40,Biol Transport and Rate Process,,
STABE0002,ENGI,2,87294,15,52,40,Full-Time Study Abroad Program,,
MATHV3020,,,11902,3,55,40,Number Theory and Cryptography,,
CHEMW2507,,,29585,3,85,40,Intensve General Chemistry-Lab,,
MATHW4061,,,21492,3,105,39,Intro-Modern Analysis I,,
ELENE3399,ELEN,3399,99781,1,117,39,Electrical Engineering Practice,,
CIEEE3250,EAEE,3250,15997,3,104,39,Hydrosystems Engineering,,
RELIV2405,,,65412,3,69,39,Chinese Religious Traditions,,
STATW4105,,,16629,3,150,38,Probability,,
MATHV3028,,,77279,3,76,38,Partial Differential Equations,,
IEORE4620,IEOR,4620,21686,3,201,38,Pricing Models For Fin Engin,,
KORNW1001,,,73196,2,71,38,Elementary Korean A,,
ELENE3043,ELEN,3043,23661,3,117,38,"Sol St, Microwave, Optics",,
MUSIV1002,,,17210,3,56,38,Fundamentals of Western,,
ECONW2257,,,85996,3,111,38,The Global Economy,,
BMENE4110,BMEN,4110,62204,3,63,38,Biostatistics For Engineers,,
CHEMW3443,,,71048,3,68,38,Organic Chemistry I-Lectures,,
BMENE3020,BMEN,3020,27346,3,48,38,Biomedical Engineering II,,
CIENE4131,CEEM,4131,67599,3,321,37,Prin of Constructn Techniques,,
ELENE4810,ELEN,4810,69684,3,319,37,Digital Signal Processing,,
BMENE3010,BMEN,3010,73696,3,47,37,Biomedical Engineering I,,
IEORE4207,IEOR,4207,74638,3,123,36,Human Factors: Performance,,
CIEEE4252,EAEE,4252,70321,3,125,36,Environmental Engineering,,
CHENE3220,CHEN,3220,21201,2,134,36,Analysis Chem Engi Pblms II,,
ASCMV2008,,,88397,4,58,36,Contemp Islamic Civilization,,
IEORE4711,IEOR,4711,62146,3,228,36,Global Capital Markets,,
ASCMV2118,,,17353,0,57,35,Contmp Islamic Civilizatn-Disc,,
PHYSC2801,,,62698,4,60,35,Accelerated Physics I,,
ENMEE3332,CEEM,3332,62033,3,96,34,A First Crse/Finite Elements,,
PHYSW3081,,,22550,2,57,34,Intermediate Laboratory Work,,
ELENE3390,ELEN,3390,21253,3,131,34,Elec Circuit Design Laboratory,,
APPHE3100,APAM,3100,88972,3,66,34,Intro to Quantum Mechanics,,
CHEMW3446,,,15899,0,59,34,Organic Chemistry - Rec,,
BIOCW3300,,,71196,3,35,34,Biochemistry,,
ENGLC1012,,,28785,3,54,34,University Writing: Gender,,
EECSE6893,ELEN,6893,91947,3,358,33,Tpc: Big Data Analytics,,
COMSW4112,COMS,4112,27906,3,243,33,Database System Implementation,,
CHEEE4252,EAEE,4252,69720,3,119,33,Intro-Surface and Colloid Chem,,
IEORE4507,IEOR,4507,61787,3,158,33,Healthcare Operations Mgt,,
IEMEE4810,MECE,4810,81348,3,72,33,Intro-Humans In Space Flight,,
CHEMW3493,,,62279,1,40,33,Organic Chemistry Lab I,,
CHEMW3495,,,12746,0,40,33,Organic Chemistry Lab I-Lab Lec,,
MUSIV1619,,,61250,1,54,32,Columbia Univ Jazz Ensemble,,
